Date,Prix
2026-02-08 14:05:22.495904,71188.56
2026-02-08 12:58:19.960963,70962.66
2026-02-08 12:58:47.462166,70962.06
2026-02-08 12:59:03.068414,70962.06
2026-02-08 12:58:57.598977,70962.06
